Module Name,Attribute Name,Tag,Type,Optionality/Cardinality,IHE Usage,Attribute Description,DICOM Section URL,MADO Page URL,DICOM Difference Note
Hierarchical SOP Instance Reference Macro Attributes,Study Instance UID,"(0020,000D)",1,,R,Unique identifier for the Study.,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Hierarchical+SOP+Instance+Reference+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=56,
Hierarchical Series Reference Macro Attributes,Retrieve Location UID,"(0040,E011)",1,,R+,Unique identifier of the system where the Composite,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Hierarchical+Series+Reference+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=56,
Hierarchical Series Reference Macro Attributes,Retrieve URL,"(0008,1190)",3,,O,URL specifying the location of the referenced Version: UID:,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Hierarchical+Series+Reference+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=57,
Issuer of Patient ID Macro Attributes,Issuer of Patient ID,"(0010,0021)",3,,O+,"Identifier of the Assigning Authority (system,",https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Issuer+of+Patient+ID+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=45,
Issuer of Patient ID Macro Attributes,Issuer of Patient ID Qualifiers Sequence,"(0010,0024)",1,,R+,Attributes specifying or qualifying the identity of the,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Issuer+of+Patient+ID+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=45,
Issuer of Patient ID Macro Attributes,Universal Entity ID,"(0040,0032)",1,,R+,Globally unique identifier for the Patient ID Assigning,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Issuer+of+Patient+ID+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=46,
Issuer of Patient ID Macro Attributes,Universal Entity ID Type,"(0040,0033)",1,,R+,Standard defining the format of the Universal Entity,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Issuer+of+Patient+ID+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=46,
Key Object Document Module,Current Requested Procedure Evidence Sequence,"(0040,A375)",1,,R,"List of all Composite SOP Instances references in Content Sequence (0040,A730), including all presentation states, real world value maps and other accompanying composite instances that are referenced from the content items.",https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Key+Object+Document+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=48,
Key Object Document Module,Referenced Request Sequence,"(0040,A370)",1,,R+,Identifies Requested Procedures to which this Document,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Key+Object+Document+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=48,
Patient Module,Other Patient IDs Sequence,"(0010,1002)",1,,R+,"A Sequence of identification numbers or codes used to identify the Patient, which may or may not be human readable, and may or may not have been obtained from an implanted or attached device such as an RFID or barcode. One or more Items shall be included in this Sequence. See Section 6.X.2.5.2.1.2.",https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Patient+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=44,
Patient Module,Patient ID,"(0010,0020)",1,,R+,Primary identifier for the patient. See Section 6.X.2.5.2.1.1.,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Patient+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=44,
Patient Module,Patient ID,"(0010,0020)",1,,R+,An identifier for the Patient.,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Patient+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=45,
Referenced Request Macro Attributes,Accession Number,"(0008,0050)",1,,R+,A departmental IS generated number that identifies the,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Referenced+Request+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=54,
Referenced Request Macro Attributes,Issuer of Accession Number Sequence,"(0008,0051)",1,,R+,Identifier of the Assigning Authority that issued the,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Referenced+Request+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=54,
Referenced Request Macro Attributes,Order Placer Identifier Sequence,"(0040,0026)",1C,,RC+,Identifier of the Assigning Authority that issued the,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Referenced+Request+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=55,
Referenced Request Macro Attributes,Placer Order Number / Imaging Service Request,"(0040,2016)",1,,R+,The order number assigned to the Imaging Service,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Referenced+Request+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=55,
Referenced Request Macro Attributes,Study Instance UID,"(0020,000D)",1,,R+,Unique Identifier for the Study.,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Referenced+Request+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=54,
SOP Common Module,Timezone Offset From UTC,"(0008,0201)",1,,R+,Contains the offset from UTC for the timezone in which the,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_SOP+Common+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=54,
