Module,DICOM Reference,Attribute Name,Tag,DICOM Type,MADO IHE Usage,in_dicom,in_mado,difference_type,DICOM Description,MADO Description,MADO instruction,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Review comment
Patient,C.7.1.1,Patient's Name,"(0010,0010)",2,,Y,,dicom_only,Patient's full name.,,,EuMadoPatient,name,,SHALL:able-to-populate,"Patient Name (0010,0010)",
Patient,C.7.1.1,Patient ID,"(0010,0020)",2,R+,Y,Y,both,"Primary identifier for the Patient. Note In the case of imaging a group of small animals simultaneously, the single Value of this identifier corresponds to the identification of the entire group. See also Section C.7.1.4.1.1.",Primary identifier for the patient. See Section 6.X.2.5.2.1.1.,,EuMadoPatient,identifier,,SHALL:able-to-populate,"Patient ID (0010,0020) & Type of Patient ID (0010,0022) & Issuer of Patient ID Qualifiers Sequence (0010,0026)",
Patient,C.7.1.1,Type of Patient ID,"(0010,0022)",3,,Y,,dicom_only,"The type of identifier in the Patient ID (0010,0020). Defined Terms: TEXT RFID BARCODE Note The identifier is coded as a string regardless of the type, not as a binary value. When this Attribute has a Value of BARCODE, Patient ID (0010,0020) may or may not have the same Value as Barcode Value (2200,0005) in the SOP Common Module, if present.",,,EuMadoPatient,identifier,,SHALL:able-to-populate,"Patient ID (0010,0020) & Type of Patient ID (0010,0022) & Issuer of Patient ID Qualifiers Sequence (0010,0026)",
Patient,C.7.1.1,Patient's Birth Date,"(0010,0030)",2,,Y,,dicom_only,Birth date of the Patient.,,,EuMadoPatient,birthDate,,SHOULD:able-to-populate,"Patient Birth Date (0010,0030)",
Patient,C.7.1.1,Patient's Birth Date in Alternative Calendar,"(0010,0033)",3,,Y,,dicom_only,"Date of birth of the named Patient in the Alternative Calendar (0010,0035). Note No format is specified for alternative calendar dates so none should be assumed.",,,,,,,,
Patient,C.7.1.1,Patient's Death Date in Alternative Calendar,"(0010,0034)",3,,Y,,dicom_only,"Date of death of the named Patient in the Alternative Calendar (0010,0035). Note No format is specified for alternative calendar dates so none should be assumed.",,,,,,,,
Patient,C.7.1.1,Patient's Alternative Calendar,"(0010,0035)",1C,,Y,,dicom_only,"The Alternative Calendar used for Patient's Birth Date in Alternative Calendar (0010,0033) and Patient's Death Date in Alternative Calendar (0010,0034). See Section C.7.1.5 for Defined Terms. Required if either Patient's Birth Date in Alternative Calendar (0010,0033) or Patient's Alternative Death Date in Calendar (0010,0034) is present.",,,,,,,,
Patient,C.7.1.1,Patient's Sex,"(0010,0040)",2,,Y,,dicom_only,Sex of the named Patient. Enumerated Values: M male F female O other See Note 2 and Note 3.,,,EuMadoPatient,gender,,SHOULD:able-to-populate,"Patient Sex (0010,0040)",
Patient,C.7.1.1,Referenced Patient Photo Sequence,"(0010,1100)",3,,Y,,dicom_only,A photo to confirm the identity of a Patient. Only a single Item is permitted in this Sequence. See C.2.2.1.1.,,,,,,,,
Patient,C.7.1.1,Quality Control Subject,"(0010,0200)",3,,Y,,dicom_only,"Indicates whether or not the subject is a quality control phantom. Enumerated Values: YES NO If this Attribute is absent, then the subject may or may not be a phantom. This Attribute describes a characteristic of the Imaging Subject. It is distinct from Quality Control Image (0028,0300) in the General Image Module, which is used to describe an image acquired.",,,,,,,,
Patient,C.7.1.1,Referenced Patient Sequence,"(0008,1120)",3,,Y,,dicom_only,A Sequence that provides reference to a Patient. Only a single Item is permitted in this Sequence.,,,,,,,,
Patient,C.7.1.1,Patient's Birth Time,"(0010,0032)",3,,Y,,dicom_only,Birth time of the Patient.,,,,,,,,
Patient,C.7.1.1,Other Patient IDs Sequence,"(0010,1002)",3,R+,Y,Y,mado_override,"A Sequence of identification numbers or codes used to identify the Patient, which may or may not be human readable, and may or may not have been obtained from an implanted or attached device such as an RFID or barcode. One or more Items are permitted in this Sequence. Note This Attribute replaces the use of Other Patient IDs (0010,1000), which did not specify an issuer for each other identifier, and which has been retired.","A Sequence of identification numbers or codes used to identify the Patient, which may or may not be human readable, and may or may not have been obtained from an implanted or attached device such as an RFID or barcode. One or more Items shall be included in this Sequence. See Section 6.X.2.5.2.1.2.",,,,,,,
Patient,C.7.1.1,>Patient ID,"(0010,0020)",1,R+,Y,Y,both,"An identifier for the Patient. Note In the case of imaging a group of small animals simultaneously, the single Value of this identifier corresponds to the identification of the entire group. See also Section C.7.1.4.1.1.",Primary identifier for the patient. See Section 6.X.2.5.2.1.1.,,EuMadoPatient,identifier,,SHALL:able-to-populate,"Patient ID (0010,0020) & Type of Patient ID (0010,0022) & Issuer of Patient ID Qualifiers Sequence (0010,0026)",
Patient,C.7.1.1,>Type of Patient ID,"(0010,0022)",1,,Y,,dicom_only,"The type of identifier in the Patient ID (0010,0020) in this Item. Defined Terms: TEXT RFID BARCODE Note The identifier is coded as a string regardless of the type, not as a binary value. When this Attribute has a Value of BARCODE, Patient ID (0010,0020) may or may not have the same Value as Barcode Value (2200,0005) in the SOP Common Module, if present.",,,EuMadoPatient,identifier,,SHALL:able-to-populate,"Patient ID (0010,0020) & Type of Patient ID (0010,0022) & Issuer of Patient ID Qualifiers Sequence (0010,0026)",
Patient,C.7.1.1,Other Patient Names,"(0010,1001)",3,,Y,,dicom_only,Other names used to identify the Patient.,,,,,,,,
Patient,C.7.1.1,Ethnic Group Code Sequence,"(0010,2161)",3,,Y,,dicom_only,Ethnic group or race of Patient. One or more Items are permitted in this Sequence.,,,,,,,,
Patient,C.7.1.1,Ethnic Groups,"(0010,2162)",3,,Y,,dicom_only,"Ethnic group(s) or race(s) of Patient. One or more Values may be present. Note This Attribute replaces the use of Ethnic Group (0010,2160), which has been retired. See PS3.3-2025a.",,,,,,,,
Patient,C.7.1.1,Patient Comments,"(0010,4000)",3,,Y,,dicom_only,User-defined additional information about the Patient.,,,,,,,,
Patient,C.7.1.1,Patient Species Description,"(0010,2201)",1C,,Y,,dicom_only,"The taxonomic rank value (e.g., genus, subgenus, species or subspecies) of the Patient. See Section C.7.1.1.1.3. Required if the Patient is a non-human organism and if Patient Species Code Sequence (0010,2202) is not present. May be present otherwise.",,,,,,,,
Patient,C.7.1.1,Patient Species Code Sequence,"(0010,2202)",1C,,Y,,dicom_only,"The taxonomic rank value (e.g., genus, subgenus, species or subspecies) of the Patient. See Section C.7.1.1.1.3. Only a single Item shall be included in this Sequence. Required if the Patient is a non-human organism and if Patient Species Description (0010,2201) is not present. May be present otherwise.",,,,,,,,
Patient,C.7.1.1,Patient Breed Description,"(0010,2292)",2C,,Y,,dicom_only,"The breed of the Patient. See Section C.7.1.1.1.1. Required if the Patient is a non-human organism and if Patient Breed Code Sequence (0010,2293) is empty. May be present otherwise.",,,,,,,,
Patient,C.7.1.1,Patient Breed Code Sequence,"(0010,2293)",2C,,Y,,dicom_only,The breed of the Patient. See Section C.7.1.1.1.1. Zero or more Items shall be included in this Sequence. Required if the Patient is a non-human organism.,,,,,,,,
Patient,C.7.1.1,Breed Registration Sequence,"(0010,2294)",2C,,Y,,dicom_only,Information identifying a non-human organism within a breed registry. Zero or more Items shall be included in this Sequence. Required if the Patient is a non-human organism.,,,,,,,,
Patient,C.7.1.1,>Breed Registration Number,"(0010,2295)",1,,Y,,dicom_only,Identification number of a non-human organism within the registry.,,,,,,,,
Patient,C.7.1.1,>Breed Registry Code Sequence,"(0010,2296)",1,,Y,,dicom_only,Identification of the organization with which a non-human organism is registered. Only a single Item shall be included in this Sequence.,,,,,,,,
Patient,C.7.1.1,>>Include Table 8.8-1 “Code Sequence Macro Attributes”,DCID 7481 “Breed Registry”.,,,Y,,dicom_only,,,,,,,,,
Patient,C.7.1.1,Strain Description,"(0010,0212)",3,,Y,,dicom_only,The strain of the Patient. See Section C.7.1.1.1.4.,,,,,,,,
Patient,C.7.1.1,Strain Nomenclature,"(0010,0213)",3,,Y,,dicom_only,"The nomenclature used for Strain Description (0010,0212). See Section C.7.1.1.1.4.",,,,,,,,
Patient,C.7.1.1,Strain Code Sequence,"(0010,0219)",3,,Y,,dicom_only,"A coded identification of the strain of the Patient. See Section C.7.1.1.1.4. One or more Items are permitted in this Sequence. If more than one Item is present, each Item represents the same information but encoded using a different Coding Scheme (rather than post-coordinated modifiers).",,,,,,,,
Patient,C.7.1.1,Strain Additional Information,"(0010,0218)",3,,Y,,dicom_only,"Additional information about the strain of the Patient that is not encoded in the formal nomenclature used in Strain Description (0010,0212). See Section C.7.1.1.1.4.",,,,,,,,
Patient,C.7.1.1,Strain Stock Sequence,"(0010,0216)",3,,Y,,dicom_only,Information identifying a non-human organism within a strain stock. Only a single Item is permitted in this Sequence.,,,,,,,,
Patient,C.7.1.1,>Strain Stock Number,"(0010,0214)",1,,Y,,dicom_only,"The stock number of the strain of the Patient issued by the organization identified by Strain Source (0010,0217). See Section C.7.1.1.1.4.",,,,,,,,
Patient,C.7.1.1,>Strain Source,"(0010,0217)",1,,Y,,dicom_only,"Identification of the organization that is the source of the non-human organism, issued by the registry identified by Strain Source Registry Code Sequence (0010,0215). See Section C.7.1.1.1.4.",,,,,,,,
Patient,C.7.1.1,>Strain Source Registry Code Sequence,"(0010,0215)",1,,Y,,dicom_only,Identification of the organization that is the registry of sources of non-human organisms. See Section C.7.1.1.1.4. Only a single Item is permitted in this Sequence.,,,,,,,,
Patient,C.7.1.1,>>Include Table 8.8-1 “Code Sequence Macro Attributes”,DCID 7490 “Research Animal Source Registry”.,,,Y,,dicom_only,,,,,,,,,
Patient,C.7.1.1,Genetic Modifications Sequence,"(0010,0221)",3,,Y,,dicom_only,The genetic modifications of the Patient. One or more Items are permitted in this Sequence. See Section C.7.1.1.1.4.,,,,,,,,
Patient,C.7.1.1,>Genetic Modifications Description,"(0010,0222)",1,,Y,,dicom_only,The genetic modifications of the Patient described using a specific nomenclature.,,,,,,,,
Patient,C.7.1.1,>Genetic Modifications Nomenclature,"(0010,0223)",1,,Y,,dicom_only,"The nomenclature used for Genetic Modifications Description (0010,0222).",,,,,,,,
Patient,C.7.1.1,>Genetic Modifications Code Sequence,"(0010,0229)",3,,Y,,dicom_only,"A coded identification of the genetic modifications of the Patient. One or more Items are permitted in this Sequence. If more than one Item is present, each Item represents the same information but encoded using a different Coding Scheme (rather than post-coordinated modifiers).",,,,,,,,
Patient,C.7.1.1,>>Include Table 8.8-1 “Code Sequence Macro Attributes”,No Baseline CID is defined.,,,Y,,dicom_only,,,,,,,,,
Patient,C.7.1.1,Responsible Person,"(0010,2297)",2C,,Y,,dicom_only,Name of person with medical or welfare decision making authority for the Patient. Required if the Patient is a non-human organism. May be present otherwise.,,,,,,,,
