Module,DICOM Reference,Attribute Name,Tag,DICOM Type,MADO IHE Usage,in_dicom,in_mado,difference_type,DICOM Description,MADO Description,MADO instruction,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Review comment
Key Object Document Series,C.17.6.1,Series Date,"(0008,0021)",3,,Y,,dicom_only,Date the Series started.,,Date KOS is created,EuMadoComposition,date,SHOULD:process,SHALL:able-to-populate,,
Key Object Document Series,C.17.6.1,Series Time,"(0008,0031)",3,,Y,,dicom_only,Time the Series started.,,Time KOS is created,EuMadoComposition,date,,SHALL:able-to-populate,,
Key Object Document Series,C.17.6.1,Protocol Name,"(0018,1030)",3,,Y,,dicom_only,Description of the conditions under which the Series was performed. Note This may represent the type of analysis used in creation of the KO SOP Instances.,,,,,,,,
Key Object Document Series,C.17.6.1,Series Description,"(0008,103E)",3,,Y,,dicom_only,Description of the Series.,,,,,,,,
Key Object Document Series,C.17.6.1,Series Description Code Sequence,"(0008,103F)",3,,Y,,dicom_only,A coded description of the Series. Only a single Item is permitted in this Sequence.,,,,,,,,
Key Object Document Series,C.17.6.1,Referenced Performed Procedure Step Sequence,"(0008,1111)",2,,Y,,dicom_only,Uniquely identifies the Performed Procedure Step SOP Instance for which the Series is created. Zero or one Item shall be included in this Sequence. Note See notes on this Attribute in Section C.17.1,,,,,,,,
Key Object Document Series,C.17.6.1,Treatment Session UID,"(300A,0700)",3,,Y,,dicom_only,A unique identifier of the RT Treatment Session to which Instances in this Series belong.,,,,,,,,
General Equipment,C.7.5.1,Manufacturer,"(0008,0070)",2,R,Y,Y,mado_override,Manufacturer of the equipment that produced the Composite Instances.,Manufacturer of the equipment that produced the KOS manifest. This attribute is required to facilitate the discovery of errors’ sources in the creation of KOS Manifests.,,EuMadoCreator,manufacturer,,SHALL:able-to-populate,"Manufacturer (0008,0070)",
General Equipment,C.7.5.1,Institution Name,"(0008,0080)",3,R,Y,Y,both,"Institution where the equipment that produced the Composite Instances is located. Note This Attribute represents the organizational context only for the Equipment IE, and should not be construed to be a substitute for Issuer of Patient ID (0010,0021) or Issuer of Accession Number (0008,0051).","Defines the institution that created the KOS manifest. This information is important to trace back any content error in a KOS Manifest. Fixed value configured onsite at install time of the software that created the KOS Manifests. Note: It is recommended to format this attribute according to the HL7 V2.5 XON data type so that it contains, in addition to the institution name, its globally unique identifier. This format is identical to the format of the authorInstitution Attribute of the MHD, XDS and XCA metadata.",,EuMadoCreatorOrganization,identifier ; name,,SHALL:able-to-populate,"Institution Name (0008,0080) (V2 XON encoding)",
General Equipment,C.7.5.1,Institution Address,"(0008,0081)",3,,Y,,dicom_only,Mailing address of the institution where the equipment that produced the Composite Instances is located.,,,,,,,,
